task_id,submit_time,wait_time_secs,completion_time,execution_ms,status,error_msg
task_ce-16,2024-06-22 23:57:14.117263,0.433885,2024-06-22 23:57:15.543603,0.9924521446228027,SUCCESS,
task_ce-9,2024-06-22 23:57:14.109773,0.439079,2024-06-22 23:57:15.633756,1.084902048110962,SUCCESS,
task_ce-25,2024-06-22 23:57:14.126724,0.443244,2024-06-22 23:57:15.776700,1.2067279815673828,SUCCESS,
task_ce-11,2024-06-22 23:57:14.111808,0.420536,2024-06-22 23:57:16.263789,1.731443166732788,SUCCESS,
task_ce-0,2024-06-22 23:57:14.097446,0.4291,2024-06-22 23:57:16.406826,1.8802719116210938,SUCCESS,
task_id,submit_time,wait_time_secs,completion_time,execution_ms,status,error_msg
task_ce-22,2024-06-22 23:57:14.123560,0.456024,2024-06-22 23:57:15.325600,0.746013879776001,SUCCESS,
task_ce-34,2024-06-22 23:57:14.136441,0.447567,2024-06-22 23:57:16.549541,1.9655330181121826,SUCCESS,
task_ce-12,2024-06-22 23:57:14.112855,0.424736,2024-06-22 23:57:17.073399,2.5357980728149414,SUCCESS,
task_ce-20,2024-06-22 23:57:14.121414,0.430605,2024-06-22 23:57:17.253455,2.7014360427856445,SUCCESS,
task_ce-24,2024-06-22 23:57:14.125675,0.428406,2024-06-22 23:57:17.461869,2.907785177230835,SUCCESS,
task_ce-6,2024-06-22 23:57:14.106470,0.448804,2024-06-22 23:57:17.454953,2.899670124053955,SUCCESS,
task_ce-15,2024-06-22 23:57:14.116190,0.420253,2024-06-22 23:57:17.863477,3.327035903930664,SUCCESS,
task_ce-5,2024-06-22 23:57:14.105398,0.441075,2024-06-22 23:57:19.270304,4.723826885223389,SUCCESS,
task_ce-33,2024-06-22 23:57:14.135407,0.439257,2024-06-22 23:57:19.268023,4.693356037139893,SUCCESS,
task_ce-57,2024-06-22 23:57:14.164236,1.484525,2024-06-22 23:57:19.627892,3.9791247844696045,SUCCESS,
task_ce-13,2024-06-22 23:57:14.114049,0.435313,2024-06-22 23:57:19.749679,5.2003138065338135,SUCCESS,
task_ce-56,2024-06-22 23:57:14.163197,2.243,2024-06-22 23:57:21.260337,4.854135036468506,SUCCESS,
task_ce-1,2024-06-22 23:57:14.100766,0.442425,2024-06-22 23:57:21.347491,6.804295301437378,SUCCESS,
task_ce-31,2024-06-22 23:57:14.133109,0.436635,2024-06-22 23:57:21.404506,6.834754705429077,SUCCESS,
task_ce-23,2024-06-22 23:57:14.124669,0.419716,2024-06-22 23:57:21.403902,6.859516143798828,SUCCESS,
task_ce-49,2024-06-22 23:57:14.154901,5.118118,2024-06-22 23:57:21.654875,2.3818519115448,SUCCESS,
task_ce-38,2024-06-22 23:57:14.140536,0.445655,2024-06-22 23:57:21.888726,7.30253005027771,SUCCESS,
task_ce-14,2024-06-22 23:57:14.115086,0.442242,2024-06-22 23:57:21.890081,7.332749128341675,SUCCESS,
task_ce-45,2024-06-22 23:57:14.150768,5.128562,2024-06-22 23:57:22.613911,3.334580898284912,SUCCESS,
task_ce-53,2024-06-22 23:57:14.160030,1.642582,2024-06-22 23:57:22.616593,6.813977003097534,SUCCESS,
task_ce-32,2024-06-22 23:57:14.134326,0.424537,2024-06-22 23:57:21.256550,6.697685956954956,SUCCESS,
task_ce-48,2024-06-22 23:57:14.153890,2.940389,2024-06-22 23:57:22.749663,5.655381202697754,SUCCESS,
task_ce-52,2024-06-22 23:57:14.158938,2.912092,2024-06-22 23:57:22.752374,5.681337118148804,SUCCESS,
task_ce-29,2024-06-22 23:57:14.131025,0.442675,2024-06-22 23:57:23.253471,8.679768085479736,SUCCESS,
task_ce-40,2024-06-22 23:57:14.145194,3.321358,2024-06-22 23:57:24.353473,6.886920928955078,SUCCESS,
task_ce-36,2024-06-22 23:57:14.138496,0.4744,2024-06-22 23:57:24.357315,9.74441123008728,SUCCESS,
task_ce-26,2024-06-22 23:57:14.127767,0.454143,2024-06-22 23:57:25.091239,10.509330034255981,SUCCESS,
task_ce-2,2024-06-22 23:57:14.101876,0.451414,2024-06-22 23:57:25.094966,10.541675090789795,SUCCESS,
task_ce-59,2024-06-22 23:57:14.166324,2.12264,2024-06-22 23:57:24.447931,8.158961772918701,SUCCESS,
task_ce-27,2024-06-22 23:57:14.128906,0.435842,2024-06-22 23:57:26.114397,11.549644947052002,SUCCESS,
task_ce-76,2024-06-22 23:57:14.187987,8.563525,2024-06-22 23:57:26.153359,3.401846170425415,SUCCESS,
task_ce-44,2024-06-22 23:57:14.149688,3.312897,2024-06-22 23:57:26.153010,8.69042181968689,SUCCESS,
task_ce-55,2024-06-22 23:57:14.162157,3.716936,2024-06-22 23:57:26.221406,8.34230899810791,SUCCESS,
task_ce-72,2024-06-22 23:57:14.182782,8.581728,2024-06-22 23:57:27.571982,4.80746603012085,SUCCESS,
task_ce-68,2024-06-22 23:57:14.178547,8.594508,2024-06-22 23:57:27.758308,4.985247850418091,SUCCESS,
task_ce-41,2024-06-22 23:57:14.146350,5.600948,2024-06-22 23:57:24.951502,5.204200983047485,SUCCESS,
task_ce-77,2024-06-22 23:57:14.189325,5.59449,2024-06-22 23:57:28.101572,8.317745923995972,SUCCESS,
task_ce-47,2024-06-22 23:57:14.152833,7.261358,2024-06-22 23:57:28.480897,7.066706895828247,SUCCESS,
task_ce-35,2024-06-22 23:57:14.137453,0.435828,2024-06-22 23:57:28.477751,13.904468774795532,SUCCESS,
task_ce-65,2024-06-22 23:57:14.175229,8.4452,2024-06-22 23:57:28.803442,6.183014154434204,SUCCESS,
task_ce-18,2024-06-22 23:57:14.119387,0.459593,2024-06-22 23:57:28.916934,14.337947845458984,SUCCESS,
task_ce-73,2024-06-22 23:57:14.184255,7.47257,2024-06-22 23:57:28.805812,7.148983001708984,SUCCESS,
task_ce-69,2024-06-22 23:57:14.179556,8.436243,2024-06-22 23:57:29.514968,6.899164199829102,SUCCESS,
task_ce-43,2024-06-22 23:57:14.148594,11.97125,2024-06-22 23:57:29.720982,3.601132869720459,SUCCESS,
task_ce-17,2024-06-22 23:57:14.118375,0.446401,2024-06-22 23:57:29.758466,15.193687677383423,SUCCESS,
task_ce-64,2024-06-22 23:57:14.174064,10.183323,2024-06-22 23:57:29.812729,5.455342054367065,SUCCESS,
task_ce-60,2024-06-22 23:57:14.167371,10.195609,2024-06-22 23:57:29.824910,5.461925745010376,SUCCESS,
task_ce-51,2024-06-22 23:57:14.157578,7.254852,2024-06-22 23:57:28.745554,7.333118915557861,SUCCESS,
task_ce-39,2024-06-22 23:57:14.143887,0.471847,2024-06-22 23:57:30.136618,15.520881175994873,SUCCESS,
task_ce-79,2024-06-22 23:57:14.191894,11.929272,2024-06-22 23:57:30.458948,4.337778091430664,SUCCESS,
task_ce-75,2024-06-22 23:57:14.186669,12.041651,2024-06-22 23:57:30.509528,4.281203985214233,SUCCESS,
task_ce-61,2024-06-22 23:57:14.168721,8.466188,2024-06-22 23:57:30.599481,7.964565992355347,SUCCESS,
task_ce-58,2024-06-22 23:57:14.165280,2.387722,2024-06-22 23:57:31.967164,15.414160966873169,SUCCESS,
task_ce-71,2024-06-22 23:57:14.181675,14.305395,2024-06-22 23:57:30.707168,2.2200927734375,SUCCESS,
task_ce-67,2024-06-22 23:57:14.177539,14.321417,2024-06-22 23:57:32.587874,4.088907957077026,SUCCESS,
task_ce-63,2024-06-22 23:57:14.170959,15.968932,2024-06-22 23:57:32.998855,2.8589589595794678,SUCCESS,
task_ce-97,2024-06-22 23:57:14.212444,16.245719,2024-06-22 23:57:33.165127,2.7069649696350098,SUCCESS,
task_ce-83,2024-06-22 23:57:14.196824,13.924474,2024-06-22 23:57:32.409538,4.288235187530518,SUCCESS,
task_ce-21,2024-06-22 23:57:14.122470,0.443811,2024-06-22 23:57:33.226822,18.660537004470825,SUCCESS,
task_ce-80,2024-06-22 23:57:14.193166,10.752305,2024-06-22 23:57:32.413335,7.4678590297698975,SUCCESS,
task_ce-96,2024-06-22 23:57:14.211372,15.942192,2024-06-22 23:57:33.354155,3.2005858421325684,SUCCESS,
task_ce-89,2024-06-22 23:57:14.203207,15.55557,2024-06-22 23:57:33.542434,3.783658981323242,SUCCESS,
task_ce-82,2024-06-22 23:57:14.195658,11.96166,2024-06-22 23:57:34.319297,8.161977052688599,SUCCESS,
task_ce-4,2024-06-22 23:57:14.104208,0.428893,2024-06-22 23:57:35.312311,20.779210090637207,SUCCESS,
task_ce-84,2024-06-22 23:57:14.197912,13.367392,2024-06-22 23:57:35.313604,7.748295783996582,SUCCESS,
task_ce-81,2024-06-22 23:57:14.194549,10.178182,2024-06-22 23:57:35.644890,11.272153854370117,SUCCESS,
task_ce-85,2024-06-22 23:57:14.198999,13.398196,2024-06-22 23:57:35.646288,8.04908800125122,SUCCESS,
task_ce-86,2024-06-22 23:57:14.200053,13.562873,2024-06-22 23:57:35.859757,8.096828937530518,SUCCESS,
task_ce-98,2024-06-22 23:57:14.213509,16.305011,2024-06-22 23:57:36.105704,5.587179183959961,SUCCESS,
task_ce-54,2024-06-22 23:57:14.161142,3.291639,2024-06-22 23:57:36.809594,19.356815099716187,SUCCESS,
task_ce-50,2024-06-22 23:57:14.156165,7.734002,2024-06-22 23:57:37.095363,15.2052001953125,SUCCESS,
task_ce-30,2024-06-22 23:57:14.132079,0.450727,2024-06-22 23:57:37.104855,22.522045373916626,SUCCESS,
task_ce-10,2024-06-22 23:57:14.110778,0.445239,2024-06-22 23:57:37.104548,22.54852795600891,SUCCESS,
task_ce-92,2024-06-22 23:57:14.206778,15.579144,2024-06-22 23:57:36.514455,6.728530168533325,SUCCESS,
task_ce-46,2024-06-22 23:57:14.151793,7.755957,2024-06-22 23:57:37.440894,15.533138036727905,SUCCESS,
task_ce-42,2024-06-22 23:57:14.147413,10.943872,2024-06-22 23:57:37.651746,12.560458183288574,SUCCESS,
task_ce-87,2024-06-22 23:57:14.201128,15.639448,2024-06-22 23:57:36.065270,6.224691152572632,SUCCESS,
task_ce-99,2024-06-22 23:57:14.214561,16.321287,2024-06-22 23:57:39.334552,8.798699140548706,SUCCESS,
task_ce-19,2024-06-22 23:57:14.120351,0.421957,2024-06-22 23:57:39.376245,24.833931922912598,SUCCESS,
task_ce-102,2024-06-22 23:57:14.218061,18.789972,2024-06-22 23:57:39.722937,6.71490216255188,SUCCESS,
task_ce-100,2024-06-22 23:57:14.215580,18.395393,2024-06-22 23:57:39.725827,7.114848613739014,SUCCESS,
task_ce-103,2024-06-22 23:57:14.219456,18.953355,2024-06-22 23:57:39.759154,6.586338996887207,SUCCESS,
task_ce-74,2024-06-22 23:57:14.185426,10.934611,2024-06-22 23:57:39.809940,14.689900159835815,SUCCESS,
task_ce-78,2024-06-22 23:57:14.190477,10.917706,2024-06-22 23:57:39.810144,14.701955080032349,SUCCESS,
task_ce-7,2024-06-22 23:57:14.107508,0.423357,2024-06-22 23:57:40.108065,25.577197074890137,SUCCESS,
task_ce-66,2024-06-22 23:57:14.176500,17.828081,2024-06-22 23:57:40.197712,8.193128824234009,SUCCESS,
task_ce-104,2024-06-22 23:57:14.220943,19.134969,2024-06-22 23:57:40.990769,7.634853839874268,SUCCESS,
task_ce-108,2024-06-22 23:57:14.228821,19.142445,2024-06-22 23:57:41.268095,7.896823883056641,SUCCESS,
task_ce-3,2024-06-22 23:57:14.102982,0.425573,2024-06-22 23:57:41.473328,26.94476890563965,SUCCESS,
task_ce-70,2024-06-22 23:57:14.180586,17.792638,2024-06-22 23:57:40.609888,8.636663913726807,SUCCESS,
task_ce-119,2024-06-22 23:57:14.241535,23.209362,2024-06-22 23:57:42.702182,5.251284837722778,SUCCESS,
task_ce-94,2024-06-22 23:57:14.209246,17.719685,2024-06-22 23:57:42.792454,10.86351490020752,SUCCESS,
